X	Y	mean	nr_fire	nr_100km2	gridsize
-172.5	-12.5	0	0	0	1209813.637
-172.5	-11.5	0	0	0	1214310.274
-172.5	-10.5	0	0	0	1218437.02
-172.5	-9.5	0	0	0	1222192.619
-172.5	-8.5	0	0	0	1225575.926
-172.5	-7.5	0	0	0	1228585.91
-172.5	-6.5	0	0	0	1231221.655
-172.5	-5.5	0	0	0	1233482.358
-172.5	-4.5	0	0	0	1235367.33
-172.5	-3.5	0	0	0	1236875.997
-172.5	-2.5	0	0	0	1238007.9
-172.5	-1.5	0	0	0	1238762.693
-172.5	-0.5	0	0	0	1239140.147
-172.5	0.5	0	0	0	1239140.147
-172.5	1.5	0	0	0	1238762.693
-172.5	2.5	0	0	0	1238007.9
-172.5	3.5	0	0	0	1236875.997
-172.5	4.5	0	0	0	1235367.33
-172.5	5.5	0	0	0	1233482.358
-172.5	6.5	0	0	0	1231221.655
-172.5	7.5	0	0	0	1228585.91
-172.5	8.5	0	0	0	1225575.926
-172.5	9.5	0	0	0	1222192.619
-172.5	10.5	0	0	0	1218437.02
-172.5	11.5	0	0	0	1214310.274
-172.5	12.5	0	0	0	1209813.637
-172.5	13.5	0	0	0	1204948.479
-172.5	14.5	0	0	0	1199716.282
-172.5	15.5	0	0	0	1194118.639
-172.5	16.5	0	0	0	1188157.257
-172.5	17.5	0	0	0	1181833.95
-171.5	-35.5	0	0	0	1008841.594
-171.5	-34.5	0	0	0	1021246.691
-171.5	-33.5	0	0	0	1033340.707
-171.5	-32.5	0	0	0	1045119.957
-171.5	-31.5	0	0	0	1056580.854
-171.5	-30.5	0	0	0	1067719.906
-171.5	-29.5	0	0	0	1078533.72
-171.5	-28.5	0	0	0	1089019.002
-171.5	-27.5	0	0	0	1099172.558
-171.5	-26.5	0	0	0	1108991.296
-171.5	-25.5	0	0	0	1118472.224
-171.5	-24.5	0	0	0	1127612.455
-171.5	-23.5	0	0	0	1136409.204
-171.5	-22.5	0	0	0	1144859.792
-171.5	-21.5	0	0	0	1152961.644
-171.5	-20.5	0	0	0	1160712.293
-171.5	-19.5	0	0	0	1168109.378
-171.5	-18.5	0	0	0	1175150.645
-171.5	-17.5	0	0	0	1181833.95
-171.5	-16.5	0	0	0	1188157.257
-171.5	-15.5	0	0	0	1194118.639
-171.5	-14.5	0	0	0	1199716.282
-171.5	-13.5	0	0	0	1204948.479
-171.5	-12.5	0	0	0	1209813.637
-171.5	-11.5	0	0	0	1214310.274
-171.5	-10.5	0	0	0	1218437.02
-171.5	-9.5	0	0	0	1222192.619
-171.5	-8.5	0	0	0	1225575.926
-171.5	-7.5	0	0	0	1228585.91
-171.5	-6.5	0	0	0	1231221.655
-171.5	-5.5	0	0	0	1233482.358
-171.5	-4.5	0	0	0	1235367.33
-171.5	-3.5	0	0	0	1236875.997
-171.5	-2.5	0	0	0	1238007.9
-171.5	-1.5	0	0	0	1238762.693
-171.5	-0.5	0	0	0	1239140.147
-171.5	0.5	0	0	0	1239140.147
-171.5	1.5	0	0	0	1238762.693
-171.5	2.5	0	0	0	1238007.9
-171.5	3.5	0	0	0	1236875.997
-171.5	4.5	0	0	0	1235367.33
-171.5	5.5	0	0	0	1233482.358
-171.5	6.5	0	0	0	1231221.655
-171.5	7.5	0	0	0	1228585.91
-171.5	8.5	0	0	0	1225575.926
-171.5	9.5	0	0	0	1222192.619
-171.5	10.5	0	0	0	1218437.02
-171.5	11.5	0	0	0	1214310.274
-171.5	12.5	0	0	0	1209813.637
-171.5	13.5	0	0	0	1204948.479
-171.5	14.5	0	0	0	1199716.282
-171.5	15.5	0	0	0	1194118.639
-171.5	16.5	0	0	0	1188157.257
-171.5	17.5	0	0	0	1181833.95
-170.5	-35.5	0	0	0	1008841.594
-170.5	-34.5	0	0	0	1021246.691
-170.5	-33.5	0	0	0	1033340.707
-170.5	-32.5	0	0	0	1045119.957
-170.5	-31.5	0	0	0	1056580.854
-170.5	-30.5	0	0	0	1067719.906
-170.5	-29.5	0	0	0	1078533.72
-170.5	-28.5	0	0	0	1089019.002
-170.5	-27.5	0	0	0	1099172.558
-170.5	-26.5	0	0	0	1108991.296
-170.5	-25.5	0	0	0	1118472.224
-170.5	-24.5	0	0	0	1127612.455
-170.5	-23.5	0	0	0	1136409.204
-170.5	-22.5	0	0	0	1144859.792
-170.5	-21.5	0	0	0	1152961.644
-170.5	-20.5	0	0	0	1160712.293
-170.5	-19.5	0	0	0	1168109.378
-170.5	-18.5	0	0	0	1175150.645
-170.5	-17.5	0	0	0	1181833.95
-170.5	-16.5	0	0	0	1188157.257
-170.5	-15.5	0	0	0	1194118.639
-170.5	-14.5	0	0	0	1199716.282
-170.5	-13.5	0	0	0	1204948.479
-170.5	-12.5	0	0	0	1209813.637
-170.5	-11.5	0	0	0	1214310.274
-170.5	-10.5	0	0	0	1218437.02
-170.5	-9.5	0	0	0	1222192.619
-170.5	-8.5	0	0	0	1225575.926
-170.5	-7.5	0	0	0	1228585.91
-170.5	-6.5	0	0	0	1231221.655
-170.5	-5.5	0	0	0	1233482.358
-170.5	-4.5	0	0	0	1235367.33
-170.5	-3.5	0	0	0	1236875.997
-170.5	-2.5	0	0	0	1238007.9
-170.5	-1.5	0	0	0	1238762.693
